ENTREZID,SYMBOL,GENENAME,basalvirgin1,basalvirgin2,basalpregnant1,basalpregnant2,basallactate1,basallactate2
497097,Xkr4,X-linked Kx blood group related 4,3.932531533,3.507367936,1.272317297,3.292540657,3.990985077,3.724251838
20671,Sox17,SRY (sex determining region Y)-box 17,1.89080812,2.787899409,1.605216509,2.121856142,0.964286755,1.923155906
27395,Mrpl15,mitochondrial ribosomal protein L15,3.429894099,3.149590867,3.637637987,3.631978134,3.703737613,3.636318476
18777,Lypla1,lysophospholipase 1,4.505932592,4.285975372,5.128398258,5.270350797,5.380101359,5.185279232
21399,Tcea1,transcription elongation factor A (SII) 1,5.804006574,5.82255895,5.988344761,5.7643442,5.700630364,5.615501943
58175,Rgs20,regulator of G-protein signaling 20,-2.673976498,-3.40192515,-0.90312471,-2.429318045,-3.156728646,-3.121238213
108664,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",4.743876016,4.831694527,5.292141421,5.348393892,5.480620765,5.376214483
12421,Rb1cc1,RB1-inducible coiled-coil 1,5.701545682,5.740181907,5.415690773,5.318874805,6.168351898,6.180257982
319263,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,5.54895254,5.555176891,5.663585487,6.038740258,6.508251884,6.509938843
59014,Rrs1,ribosome biogenesis regulator 1,5.880185962,6.096724638,6.293837712,6.092064284,5.153429672,4.645621931
76187,Adhfe1,"alcohol dehydrogenase, iron containing, 1",-0.634448134,-0.769656935,-0.806909395,-0.172978292,0.136053103,0.171543536
72481,2610203C22Rik,RIKEN cDNA 2610203C22 gene,-2.384469881,-2.916498323,-2.953750783,-2.429318045,-0.349373724,-0.799310118
76982,3110035E14Rik,RIKEN cDNA 3110035E14 gene,-0.714618483,-2.023413527,-0.806909395,-0.389789681,1.922222696,1.832958098
17864,Mybl1,myeloblastosis oncogene-like 1,4.734471191,4.346267699,3.401285624,3.436930566,4.007172568,3.69894075
70675,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,5.70828726,5.705030307,5.390545125,5.397230442,5.727747173,5.458454851
170755,Sgk3,serum/glucocorticoid regulated kinase 3,3.287955461,3.137233661,2.423769638,2.595513808,3.25266229,3.417920598
