ENTREZID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
100503377	NA	NA	0.999392167	2.047936255	4.093942673	0.001149596	0.006166095	-0.925665119
269003	Sap130	Sin3A associated protein	0.101972978	5.905080342	0.857023193	0.406219916	0.528719445	-7.007641442
66403	Asf1a	anti-silencing function 1A histone chaperone	0.240826843	3.250726474	1.274028912	0.223907466	0.337646175	-6.129292051
76223	Agbl3	ATP/GTP binding protein-like 3	-0.271879989	1.766450334	-1.014884559	0.327804192	0.449286598	-6.078260706
108115	Slco4a1	solute carrier organic anion transporter family, member 4a1	0.44704256	2.91550927	2.412836062	0.030510497	0.073790047	-4.296021884
26931	Ppp2r5c	protein phosphatase 2, regulatory subunit B', gamma	-0.174880296	6.717637083	-1.622637917	0.12751548	0.220685922	-6.12011867
20832	Ssr4	signal sequence receptor, delta	0.662868673	5.651833886	5.921316493	4.13e-05	0.000556757	1.885726124
21846	Tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	-0.014977025	3.583453908	-0.080391344	0.937118331	0.958259893	-7.017163146
66230	Mrps28	mitochondrial ribosomal protein S28	0.52508567	3.466889929	3.142245631	0.007390467	0.025331858	-3.04464807
108058	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	-0.027771962	5.768280136	-0.209543622	0.837227728	0.888064227	-7.359523402
100216532	Snord2	small nucleolar RNA, C/D box 2	0.193942119	0.927484319	0.529560638	0.605426018	0.707743813	-6.253607069
19870	Snord73a	small nucleolar RNA, C/D box U73A	1.35582778	-0.425410011	2.980483134	0.010155103	0.032151404	-2.650585892
71853	Pdia6	protein disulfide isomerase associated 6	0.571002655	7.12852667	4.820105341	0.000291523	0.002251806	-0.160138412
100037283	Rnaset2a	ribonuclease T2A	0.264477992	2.667810323	1.298223715	0.215706688	0.328914825	-5.968592034
100416706	Zfp729b	zinc finger protein 729b	-0.844715427	1.83445503	-3.051036442	0.00892674	0.029106795	-2.895992039
67023	Use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	-0.063590269	5.793256072	-0.526359513	0.607081485	0.708686335	-7.238223076
68895	Rasl11a	RAS-like, family 11, member A	-0.579027153	3.903842725	-3.04655504	0.010188153	0.032227276	-3.400323136
237886	Slfn9	schlafen 9	0.547096394	1.109062191	1.893061966	0.079734578	0.154260801	-4.777065823
83922	Cep41	centrosomal protein 41	0.362295574	2.115268853	1.548168436	0.144437058	0.24365381	-5.514137601
12258	Serping1	serine (or cysteine) peptidase inhibitor, clade G, member 1	0.650647721	4.727303154	2.294577006	0.062970648	0.128757585	-5.056421363
27279	Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a	0.008237673	9.066333868	0.064695362	0.949353985	0.966244708	-7.294623673
100503085	Klhl3	kelch-like 3	-0.854152343	0.45257416	-2.564949236	0.022801135	0.058868008	-3.524048462
58521	Eid1	EP300 interacting inhibitor of differentiation 1	-0.106976709	7.134327435	-0.963648811	0.351975794	0.474134534	-6.919532047
