ENTREZID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
100529077	Snord42b	small nucleolar RNA, C/D box 42B	0.495586172	-0.246614423	1.196469585	0.26044195	0.409887779	-5.423823586
170461	Stard6	StAR-related lipid transfer (START) domain containing 6	-0.95103186	0.137162599	-2.468930161	0.034264557	0.098474781	-3.730456194
21357	Tarbp2	TARBP2, RISC loading complex RNA binding subunit	-0.024103046	3.619875166	-0.119962563	0.907019141	0.943972257	-6.98984519
54214	Golga4	golgi autoantigen, golgin subfamily a, 4	0.285496506	6.547310821	2.421793215	0.037085947	0.104258176	-4.839516792
107071	Wdr74	WD repeat domain 74	0.20074233	4.854642608	1.305720134	0.222298431	0.366516301	-6.350702463
66244	Nemf	nuclear export mediator factor	-0.063895727	5.452033482	-0.488102734	0.636515726	0.754317389	-7.163044065
100316693	Mir1938	microRNA 1938	-0.876350266	-0.252390789	-2.145054364	0.058873868	0.144096732	-4.165080706
109934	Abr	active BCR-related gene	-0.096046144	5.933222165	-0.82978723	0.426963459	0.571913096	-6.968274594
414108	9230114K14Rik	RIKEN cDNA 9230114K14 gene	0.632904097	0.977902255	2.028668372	0.071360765	0.165199389	-4.559482711
17827	Mtx1	metaxin 1	0.13211377	4.57215271	0.927017891	0.376806097	0.527027724	-6.717036026
107528	Magee1	MAGE family member E1	-0.236478568	3.648729676	-1.334169572	0.213162879	0.355879679	-6.109532977
333329	Cngb1	cyclic nucleotide gated channel beta 1	1.022201839	-0.065099706	1.352940644	0.219505573	0.363291452	-5.269471141
20957	Sycp1	synaptonemal complex protein 1	-0.415412849	2.489980301	-1.240284448	0.24971554	0.398072055	-5.964189481
225724	Mapk4	mitogen-activated protein kinase 4	0.604371675	-0.20811752	1.070686284	0.312535239	0.463837646	-5.559869844
70484	Slc35d2	solute carrier family 35, member D2	1.307000747	0.200674507	3.555434007	0.005632907	0.027938058	-2.030511142
52808	Tspyl2	TSPY-like 2	0.140566722	5.626979741	1.149832047	0.278260538	0.429808898	-6.628769088
140629	Ubox5	U box domain containing 5	0.620036435	1.67651497	2.300527874	0.045439226	0.119982501	-4.281190562
16600	Klf4	Kruppel-like factor 4 (gut)	0.774688027	9.131599513	5.083457685	0.000552971	0.005951555	-0.389702938
228961	Npepl1	aminopeptidase-like 1	0.133439232	6.395373885	1.158268686	0.274967294	0.426502198	-6.661042432
74352	Zfp84	zinc finger protein 84	1.040814236	3.261007198	5.62049943	0.000264558	0.003646957	0.624985065
20679	Sox6	SRY (sex determining region Y)-box 6	0.801762015	0.95259652	2.436205995	0.036199727	0.102424396	-3.9205365
19224	Ptgs1	prostaglandin-endoperoxide synthase 1	0.972477135	3.067346747	3.245179099	0.011647075	0.045854402	-3.136581612
