Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-09-13,2021-09-13,7816,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,85.71,
2021-09-12,2021-09-13,7816,GIANT 2376,Merchandise,62.00,
2021-09-11,2021-09-13,7816,EVERYDAY SUNDAE,Dining,13.86,
2021-09-11,2021-09-13,7816,BISMILLAH BUKHARA INC,Dining,67.48,
2021-09-11,2021-09-13,7816,"SQ *NINO'S BAKERY, LLC",Dining,12.07,
2021-09-09,2021-09-10,7816,TEAISM PENN QUARTER,Dining,85.80,
2021-09-09,2021-09-10,7816,CVS/PHARMACY #02817,Health Care,12.50,
2021-09-09,2021-09-10,7816,CVS/PHARMACY #02817,Health Care,14.89,
2021-09-07,2021-09-10,7816,ENMOTIVE EVENT REGISTRATI,Entertainment,55.30,
2021-09-09,2021-09-10,7816,TST* ASTRO DOUGHNUTS 7TH,Dining,47.91,
2021-09-08,2021-09-09,7816,BOUNDARY STONE IN PERS,Dining,90.00,
2021-09-06,2021-09-07,7816,HUDSON-DUNKIN ST1341,Merchandise,2.68,
2021-09-06,2021-09-07,7816,METTO COFFEE & TEA,Dining,11.99,
2021-09-05,2021-09-07,7816,KCPT - DONATION,Other,5.00,
2021-09-04,2021-09-07,7816,HOTEL BENNETT - RESTAURA,Dining,164.51,
2021-09-05,2021-09-06,7816,BELGAIN GELATO,Dining,10.00,
2021-09-06,2021-09-06,7816,VINTAGE COFFEE & CAFE,Dining,33.30,
2021-09-05,2021-09-06,7816,THE SPICE AND TEA EXCHANG,Merchandise,17.50,
2021-09-05,2021-09-06,7816,LYFT   *RIDE SUN 6PM,Other Travel,16.83,
2021-09-05,2021-09-06,7816,ESPN Plus,Phone/Cable,7.41,
2021-09-04,2021-09-06,7816,UPTOWN SOCIAL,Dining,29.00,
2021-09-05,2021-09-06,7816,Dropbox 39Y94R4PGR85,Internet,21.19,
2021-09-04,2021-09-06,7816,FRANCESCA'S B80,Merchandise,16.33,
2021-09-04,2021-09-06,7816,SPARTINA 449 - CHARLESTON,Merchandise,38.37,
2021-09-04,2021-09-06,7816,SEPHORA KING STREET,Merchandise,2.18,
2021-09-04,2021-09-06,7816,TST* MILLERS ALL DAY,Dining,76.06,
2021-09-04,2021-09-06,7816,NYTimes*NYTimes,Other Services,28.00,
2021-09-02,2021-09-04,7816,NORDSTROM RACK #0673,Merchandise,,63.47
2021-09-03,2021-09-04,7816,CAPITOL FILE TEMP 553,Merchandise,10.24,
2021-09-03,2021-09-04,7816,LYFT   *RIDE FRI 3PM,Other Travel,57.49,
2021-09-03,2021-09-04,7816,PASSENGER - DC,Dining,41.90,
2021-09-02,2021-09-03,7816,NORDSTROM RACK #0673,Merchandise,177.87,
2021-09-03,2021-09-03,7816,Amazon web services,Other Services,7.42,
2021-09-02,2021-09-03,7816,NORDSTROM RACK #0673,Merchandise,147.29,
2021-09-02,2021-09-03,7816,"SQ *AREPA ZONE, LLC",Dining,41.35,
2021-09-01,2021-09-02,7816,CKO*Patreon* Membership,Internet,10.39,
2021-08-31,2021-09-01,7816,"ACADEMIC LADDER, LLC",Other Services,49.50,
2021-08-31,2021-09-01,7816,GIANT 2376,Merchandise,54.13,
2021-08-30,2021-08-31,7816,METRO FARE AUTOLOAD,Other Travel,20.00,
2021-08-30,2021-08-31,7816,GIANT 2376,Merchandise,9.00,
2021-08-29,2021-08-30,7816,TST* TEXAS JACK S BARBECU,Dining,200.64,
2021-08-28,2021-08-30,7816,TST* THE ROOST - SHELTER,Dining,81.25,
