sample_id,date,country,geoloc_cat,geoloc_conf,MA,conf
MA_DPH_00002,3/3/20,USA,Europe,0.532332526,NO,0.926163911
MA_MGH_00438,3/4/20,USA,Massachusetts,0.999946205,YES,0.99990221
USA/MA_9889/2020,3/4/20,USA,Massachusetts,0.999946205,YES,0.99990221
USA/MA_9704/2020,3/4/20,USA,Massachusetts,0.999449444,YES,0.996804524
MA_MGH_00440,3/4/20,USA,Massachusetts,0.998029158,YES,0.989575176
MA_DPH_00003,3/5/20,USA,Europe,0.975884805,NO,0.963928885
USA/MA_1355/2020,3/5/20,USA,Asia,0.975401297,NO,0.963935413
USA/MA_8933/2020,3/5/20,USA,Massachusetts,0.982383209,YES,0.97355573
USA/MA_0020/2020,3/5/20,USA,Massachusetts,0.99993436,YES,0.999950478
USA/MA_9703/2020,3/5/20,USA,Massachusetts,0.99993436,YES,0.999950478
MA_MGH_00441,3/5/20,USA,Massachusetts,0.975160097,YES,0.97355573
MA_MGH_00442,3/5/20,USA,Massachusetts,0.999933888,YES,0.999955552
USA/MA_8932/2020,3/5/20,USA,Massachusetts,0.999310862,YES,0.999269613
USA/MA_2652/2020,3/6/20,USA,Europe,0.999724794,NO,1
USA/MA_3653/2020,3/6/20,USA,Europe,0.999724794,NO,1
MA_MGH_00428,3/6/20,USA,Massachusetts,0.968577779,YES,0.973653384
USA/MA_3672/2020,3/6/20,USA,Massachusetts,0.999951635,YES,0.99997436
USA/MA_3616/2020,3/6/20,USA,Massachusetts,0.999951635,YES,0.99997436
USA/MA_3626/2020,3/6/20,USA,Massachusetts,0.999951635,YES,0.99997436
USA/MA_3623/2020,3/6/20,USA,Massachusetts,0.999951635,YES,0.99997436
USA/MA_3699/2020,3/6/20,USA,Massachusetts,0.999943302,YES,0.999950478
USA/MA_3878/2020,3/6/20,USA,Massachusetts,0.999943302,YES,0.999950478
USA/MA_3614/2020,3/6/20,USA,Massachusetts,0.999602394,YES,0.999312525
MA_MGH_00433,3/7/20,USA,North America,0.469179055,NO,0.963930387
MA_MGH_00426,3/7/20,USA,Europe,0.999724794,NO,1
MA_MGH_00417,3/7/20,USA,Europe,0.999724794,NO,1
MA_MGH_00416,3/7/20,USA,Europe,0.999724794,NO,1
MA_MGH_00434,3/7/20,USA,Massachusetts,0.999921228,YES,0.999953129
MA_MGH_00421,3/7/20,USA,Massachusetts,0.999921228,YES,0.999953129
MA_MGH_00415,3/7/20,USA,Massachusetts,0.999951646,YES,0.999972781
MA_MGH_00432,3/7/20,USA,Massachusetts,0.999951646,YES,0.999972781
MA_MGH_00427,3/7/20,USA,Massachusetts,0.999951646,YES,0.999972781
MA_MGH_00439,3/7/20,USA,Massachusetts,0.999951646,YES,0.999972781
MA_MGH_00422,3/7/20,USA,Massachusetts,0.999939601,YES,0.999893772
MA_MGH_00418,3/7/20,USA,Massachusetts,0.999939601,YES,0.999893772
MA_MGH_00419,3/7/20,USA,Massachusetts,0.999904271,YES,0.99970938
MA_MGH_00430,3/7/20,USA,Massachusetts,0.999904271,YES,0.99970938
MA_MGH_00424,3/7/20,USA,Massachusetts,1,YES,1
MA_MGH_00437,3/7/20,USA,Massachusetts,0.999953128,YES,0.999975275
MA_MGH_00443,3/7/20,USA,Massachusetts,0.999953128,YES,0.999975275
MA_MGH_00425,3/7/20,USA,Massachusetts,0.999309536,YES,0.999259305
USA/MA_4811/2020,3/7/20,USA,Massachusetts,0.999311497,YES,0.999270685
MA_MGH_00420,3/7/20,USA,Massachusetts,0.999941731,YES,0.999955686
USA/MA_3642/2020,3/7/20,USA,Massachusetts,0.982633833,YES,0.974718525
MA_MGH_00431,3/7/20,USA,Massachusetts,0.999310569,YES,0.999269191
MA_MGH_00444,3/8/20,USA,Europe,0.999724794,NO,1
MA_MGH_00435,3/8/20,USA,Massachusetts,0.856834681,NO,0.638349672
MA_MGH_00003,3/9/20,USA,Europe,0.999724794,NO,1
MA_DPH_00011,3/10/20,USA,North America,1,NO,1
MA_MGH_00005,3/11/20,USA,Massachusetts,0.873064148,NO,0.910378177
MA_MGH_00510,3/11/20,USA,Massachusetts,0.99995133,YES,0.999974142
MA_MGH_00006,3/11/20,Denmark,Europe,0.975900066,NO,0.963933785
MA_MGH_00517,3/14/20,USA,North America,0.523153959,NO,0.963927967
MA_MGH_00516,3/14/20,USA,Massachusetts,0.999950374,YES,0.999973934
MA_MGH_00521,3/16/20,USA,Europe,0.973849256,NO,0.963886538
MA_MGH_00528,3/18/20,United Kingdom,Europe,0.934037114,NO,0.96263261
MA_MGH_00530,3/18/20,USA,Massachusetts,0.401160489,NO,0.96393379
MA_MGH_00525,3/18/20,USA,Massachusetts,0.999305714,YES,0.999284512
MA_MGH_00533,3/18/20,USA,Massachusetts,0.920933136,NO,0.953519048
MA_MGH_00523,3/18/20,USA,Massachusetts,0.988102833,YES,0.974501882
MA_MGH_00532,3/18/20,USA,Massachusetts,0.9999999,YES,0.999981433
MA_MGH_00539,3/19/20,USA,Asia,0.657288817,NO,0.963933693
MA_MGH_00537,3/19/20,USA,Massachusetts,0.999391159,YES,0.998816186
MA_MGH_00542,3/19/20,USA,Massachusetts,0.99995133,YES,0.999974142
MA_MGH_00538,3/19/20,USA,Massachusetts,0.982394185,YES,0.97378273
MA_MGH_00541,3/19/20,USA,Massachusetts,0.999941835,YES,0.999955005
MA_MGH_00554,3/20/20,USA,Massachusetts,0.502025851,YES,0.612286087
MA_MGH_00551,3/20/20,USA,North America,0.999999934,NO,0.999999937
MA_MGH_00684,3/20/20,USA,Massachusetts,0.968920775,NO,0.950891374
MA_MGH_00576,3/20/20,USA,Massachusetts,0.999391159,YES,0.998816186
MA_MGH_00552,3/20/20,USA,Massachusetts,0.999950332,YES,0.999973912
MA_MGH_00676,3/21/20,USA,North America,0.575950686,NO,0.917437484
MA_MGH_00683,3/21/20,USA,Massachusetts,0.999943596,YES,0.99995661
MA_MGH_00564,3/21/20,USA,Massachusetts,0.993261736,YES,0.976896822
MA_MGH_00569,3/22/20,USA,Europe,0.966050209,NO,0.963930484
MA_MGH_00679,3/22/20,USA,Europe,0.999999999,NO,1
MA_MGH_00562,3/22/20,USA,Massachusetts,1,YES,1
MA_MGH_00558,3/22/20,USA,Europe,0.999724794,NO,1
MA_MGH_00680,3/22/20,USA,Massachusetts,0.837640093,NO,0.954103559
MA_MGH_00134,3/22/20,USA,Massachusetts,0.999953085,YES,0.999975258
MA_MGH_00568,3/22/20,USA,Massachusetts,0.999951712,YES,0.999974592
MA_MGH_00557,3/22/20,USA,Massachusetts,0.999951712,YES,0.999974592
MA_MGH_00678,3/22/20,USA,Massachusetts,0.993261736,YES,0.976896822
MA_MGH_00565,3/22/20,USA,Eastern USA,0.561087726,NO,0.960320922
MA_MGH_00681,3/22/20,USA,Massachusetts,0.999460118,YES,0.99931665
MA_MGH_00570,3/22/20,USA,Massachusetts,0.999460118,YES,0.99931665
MA_MGH_00567,3/22/20,USA,Massachusetts,0.999961278,YES,0.999987138
MA_MGH_00049,3/23/20,USA,North America,1,NO,1
MA_MGH_00071,3/23/20,USA,Massachusetts,0.976594018,YES,0.976583229
MA_MGH_00048,3/23/20,USA,Europe,0.970180271,NO,0.962634372
MA_MGH_00059,3/23/20,USA,Massachusetts,0.97571782,YES,0.974770002
MA_MGH_00024,3/23/20,USA,Massachusetts,0.999356202,YES,0.99933176
MA_MGH_00571,3/23/20,USA,Massachusetts,0.999951756,YES,0.999974611
MA_MGH_00013,3/23/20,USA,Massachusetts,0.780015618,NO,0.94587539
