entity:sample_set_id,align_to_ref_merged_aligned_trimmed_only_bam,align_to_ref_merged_bases_aligned,align_to_ref_merged_coverage_plot,align_to_ref_merged_coverage_tsv,align_to_ref_merged_mean_coverage,align_to_ref_merged_reads_aligned,align_to_ref_merged_read_pairs_aligned,align_to_ref_multiqc_report,align_to_ref_per_input_aligned_flagstat,align_to_ref_per_input_reads_aligned,align_to_ref_per_input_reads_provided,align_to_ref_variants_vcf_gz,align_to_ref_viral_core_version,align_to_self_merged_aligned_only_bam,align_to_self_merged_bases_aligned,align_to_self_merged_coverage_plot,align_to_self_merged_coverage_tsv,align_to_self_merged_reads_aligned,align_to_self_merged_read_pairs_aligned,assembly_fasta,assembly_length,assembly_length_unambiguous,assembly_mean_coverage,ivar_version,reference_genome_length,viral_assemble_version
H20CTL10,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-merge_align_to_ref/H20CTL10.align_to_ref.trimmed.bam,1111,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-plot_ref_coverage/H20CTL10.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-plot_ref_coverage/H20CTL10.coverage_plot.txt,0.037153463,11,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-align_to_ref/shard-0/H20CTL10.lERCC-00171_RandomHexamer_NexteraXT_RNA_0352322592_cDNA_362244842_LIB_Batch5_H12.cleaned.all.bam.flagstat.txt""]",[42],[1292106],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-call_consensus/H20CTL10.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-merge_align_to_self/H20CTL10.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-plot_self_coverage/H20CTL10.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-plot_self_coverage/H20CTL10.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/34f2a298-bac5-4a5a-a880-b021d30cb300/call-call_consensus/H20CTL10.fasta,0,0,0.037153463,iVar version 1.2.2,29903,v2.0.21
H20CTL13,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-merge_align_to_ref/H20CTL13.align_to_ref.trimmed.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-plot_ref_coverage/H20CTL13.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-plot_ref_coverage/H20CTL13.coverage_plot.txt,,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-align_to_ref/shard-0/H20CTL13.lERCC-00019_RandomPrimer_NexteraXT_RNA_0352323737_cDNA_0367877828_LIB_0334377044.cleaned.all.bam.flagstat.txt""]",[3],[3427316],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-call_consensus/H20CTL13.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-merge_align_to_self/H20CTL13.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-plot_self_coverage/H20CTL13.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-plot_self_coverage/H20CTL13.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/180a2682-f30e-48c8-ac1d-bf8e073f5fbb/call-call_consensus/H20CTL13.fasta,0,0,0,iVar version 1.2.2,29903,v2.0.21
H20CTL26,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-merge_align_to_ref/H20CTL26.align_to_ref.trimmed.bam,505,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-plot_ref_coverage/H20CTL26.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-plot_ref_coverage/H20CTL26.coverage_plot.txt,,5,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-align_to_ref/shard-0/attempt-2/H20CTL26.lERCC-00002_RandomPrimer-SSIII_NexteraXT_RNA_355018199_cDNA_367878155_LIB_TS01287586_A1.cleaned.all.bam.flagstat.txt""]",[10],[2445862],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-call_consensus/H20CTL26.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-merge_align_to_self/H20CTL26.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-plot_self_coverage/H20CTL26.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-plot_self_coverage/H20CTL26.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/ed10116a-470e-4f25-a508-9aaa782fbc34/call-call_consensus/H20CTL26.fasta,0,0,0.016887938,iVar version 1.2.2,29903,v2.0.21
H20CTL27,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-merge_align_to_ref/H20CTL27.align_to_ref.trimmed.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-plot_ref_coverage/H20CTL27.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-plot_ref_coverage/H20CTL27.coverage_plot.txt,,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-align_to_ref/shard-0/H20CTL27.lERCC-00154_RandomPrimer-SSIII_NexteraXT_RNA_355015857_cDNA_367878162_LIB_TS01287586_H1.cleaned.all.bam.flagstat.txt""]",[2],[1865532],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-call_consensus/H20CTL27.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-merge_align_to_self/H20CTL27.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-plot_self_coverage/H20CTL27.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-plot_self_coverage/H20CTL27.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/d914ab48-1f85-41fd-ba7b-97657c2e50f3/call-call_consensus/H20CTL27.fasta,0,0,0,iVar version 1.2.2,29903,v2.0.21
H20CTL28,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-merge_align_to_ref/H20CTL28.align_to_ref.trimmed.bam,202,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-plot_ref_coverage/H20CTL28.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-plot_ref_coverage/H20CTL28.coverage_plot.txt,,2,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-align_to_ref/shard-0/H20CTL28.lERCC-00019_RandomPrimer-SSIII_NexteraXT_RNA_355018287_cDNA_367878243_LIB_TS01287586_A12.cleaned.all.bam.flagstat.txt""]",[9],[3188220],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-call_consensus/H20CTL28.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-merge_align_to_self/H20CTL28.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-plot_self_coverage/H20CTL28.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-plot_self_coverage/H20CTL28.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/6a5bcc7f-f917-46a6-b69c-7df4f8c50c24/call-call_consensus/H20CTL28.fasta,0,0,0.006755175,iVar version 1.2.2,29903,v2.0.21
H20CTL29,,,,,,,,,,,,,,,,,,,,,,,,,,
H20CTL30,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-merge_align_to_ref/H20CTL30.align_to_ref.trimmed.bam,2626,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-plot_ref_coverage/H20CTL30.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-plot_ref_coverage/H20CTL30.coverage_plot.txt,,26,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-align_to_ref/shard-0/H20CTL30.lERCC-00002_RandomPrimer-SSIII_NexteraXT_RNA_0362217682_cDNA_0367876039_LIB_TS01370854_A1.cleaned.all.bam.flagstat.txt""]",[67],[638000],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-call_consensus/H20CTL30.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-merge_align_to_self/H20CTL30.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-plot_self_coverage/H20CTL30.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-plot_self_coverage/H20CTL30.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/2f48bd84-4b49-43a8-aca7-3aae8b86a0be/call-call_consensus/H20CTL30.fasta,0,0,0.087817276,iVar version 1.2.2,29903,v2.0.21
H20CTL31,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-merge_align_to_ref/H20CTL31.align_to_ref.trimmed.bam,606,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-plot_ref_coverage/H20CTL31.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-plot_ref_coverage/H20CTL31.coverage_plot.txt,,6,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-align_to_ref/shard-0/H20CTL31.lERCC-00154_RandomPrimer-SSIII_NexteraXT_RNA_0362217689_cDNA_0367876914_LIB_TS01370854_H1.cleaned.all.bam.flagstat.txt""]",[16],[539450],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-call_consensus/H20CTL31.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-merge_align_to_self/H20CTL31.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-plot_self_coverage/H20CTL31.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-plot_self_coverage/H20CTL31.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/443a2e37-86a5-4999-9a3a-89855e105c8b/call-call_consensus/H20CTL31.fasta,0,0,0.020265525,iVar version 1.2.2,29903,v2.0.21
H20CTL32,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-merge_align_to_ref/H20CTL32.align_to_ref.trimmed.bam,5050,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-plot_ref_coverage/H20CTL32.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-plot_ref_coverage/H20CTL32.coverage_plot.txt,,50,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-multiqc_align_to_ref/multiqc-output/multiqc.html,"[""gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-align_to_ref/shard-0/H20CTL32.lERCC-00019_RandomPrimer-SSIII_NexteraXT_RNA_0362217770_cDNA_0367876041_LIB_TS01370854_A12.cleaned.all.bam.flagstat.txt""]",[162],[1663956],gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-call_consensus/H20CTL32.sites.vcf.gz,v2.0.21,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-merge_align_to_self/H20CTL32.merge_align_to_self.bam,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-plot_self_coverage/H20CTL32.coverage_plot.pdf,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-plot_self_coverage/H20CTL32.coverage_plot.txt,0,0,gs://fc-76ab7e42-a2cf-4e95-b1c2-7a64874c9849/f4e7a90a-b960-47f2-a125-4f4eee80c6bf/assemble_refbased/0a0a3bbb-02b7-4577-b4eb-ac487cde39c8/call-call_consensus/H20CTL32.fasta,86,46,0.168879377,iVar version 1.2.2,29903,v2.0.21
H20CTL33,,,,,,,,,,,,,,,,,,,,,,,,,,
